name,address,price,psf,description,bedroom,bathroom,carpark
"The Mews, KLCC","KLCC, Kuala Lumpur","RM 3,000",(RM 3.24 per sq. ft.),Serviced Residence  •  Built-up : 925 sq. ft.  •  Fully furnished,1,1,1
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,500",(RM 2.88 per sq. ft.),Serviced Residence  •  Built-up : 868 sq. ft.  •  Fully furnished,2+1,2,1
"UNA, Cheras","Cheras, Kuala Lumpur","RM 2,700",(RM 3.35 per sq. ft.),Serviced Residence  •  Built-up : 807 sq. ft.  •  Fully furnished,2,1,1
"The Fennel, Sentul Selatan, Sentul","Sentul, Kuala Lumpur","RM 2,200",(RM 2.2 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.  •  Fully furnished",2,3,1
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,300",(RM 3.16 per sq. ft.),"Serviced Residence  •  Built-up : 1,044 sq. ft.",3,2,2
Taman Tun Dr Ismail,"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,200",(RM 1.45 per sq. ft.),"2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished",4+1,3,2
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,300",(RM 3.16 per sq. ft.),"Serviced Residence  •  Built-up : 1,044 sq. ft.  •  Fully furnished",3,2,2
"TR Residence, Titiwangsa","Titiwangsa, Kuala Lumpur","RM 2,600",(RM 3.66 per sq. ft.),Serviced Residence  •  Built-up : 710 sq. ft.  •  Fully furnished,2,1,1
"Stonor 3, KLCC","KLCC, Kuala Lumpur","RM 5,500",(RM 4.46 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,232 sq. ft.  •  Fully furnished",3,3,2
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 3.24 per sq. ft.),Serviced Residence  •  Built-up : 926 sq. ft.  •  Fully furnished,2,2,1
"Residensi 22, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 7,700",(RM 4.1 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,878 sq. ft.  •  Fully furnished",3+1,3,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 3,700",(RM 3.7 per sq. ft.),"Condominium  •  Built-up : 1,001 sq. ft.  •  Fully furnished",2,2,2
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","RM 7,500",(RM 6.33 per sq. ft.),"Serviced Residence  •  Built-up : 1,184 sq. ft.",2,2,1
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 4,700",(RM 3.06 per sq. ft.),"Condominium  •  Built-up : 1,535 sq. ft.  •  Partly furnished",3+1,3,3
"LeVenue, LeVenue 2, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 6,000",(RM 1.71 per sq. ft.),"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,500 sq. ft.  •  Partly furnished",5,5,
"Villa Scott, Brickfields","Brickfields, Kuala Lumpur","RM 2,800",(RM 1.87 per sq. ft.),"Condominium  •  Built-up : 1,500 sq. ft.  •  Fully furnished",3+1,3,1
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","RM 6,650",(RM 6.18 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,076 sq. ft.  •  Fully furnished",2,2,1
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,900",(RM 3.68 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,603 sq. ft.  •  Fully furnished",3+1,3,2
"The Pearl KLCC, KL, KLCC","KLCC, Kuala Lumpur","RM 10,000",(RM 2.91 per sq. ft.),"Condominium  •  Built-up : 3,439 sq. ft.  •  Fully furnished",3+1,3,1
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 3,000",(RM 3.87 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 775 sq. ft.  •  Fully furnished,2,2,1
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 3,500",(RM 3.19 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,098 sq. ft.  •  Fully furnished",2,2,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 13,000",(RM 2.28 per sq. ft.),"Condominium | Corner lot  •  Built-up : 5,690 sq. ft.  •  Fully furnished",5+1,6,3
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 4,000",(RM 3.3 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,211 sq. ft.  •  Fully furnished",3,2,2
"Vortex, KLCC","KLCC, Kuala Lumpur","RM 2,700",(RM 3.25 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 831 sq. ft.  •  Fully furnished,3,2,
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 4,500",(RM 4.35 per sq. ft.),"Condominium  •  Built-up : 1,034 sq. ft.  •  Fully furnished",2,1,2
"Star Residences Two, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 4.11 per sq. ft.),Serviced Residence  •  Built-up : 851 sq. ft.  •  Fully furnished,2,1,1
"Le Nouvel, KLCC","KLCC, Kuala Lumpur","RM 11,500",(RM 5.45 per sq. ft.),"Condominium  •  Built-up : 2,110 sq. ft.  •  Partly furnished",3,3,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,000",(RM 2.67 per sq. ft.),Serviced Residence  •  Built-up : 750 sq. ft.  •  Partly furnished,2,1,1
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur","RM 3,000",(RM 3.76 per sq. ft.),Condominium | Corner lot  •  Built-up : 797 sq. ft.  •  Fully furnished,1,1,1
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,000",(RM 2.83 per sq. ft.),"Serviced Residence  •  Built-up : 1,061 sq. ft.  •  Fully furnished",3,2,2
"The Nest @ Jln Klang Lama, Old Klang Road, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,550",(RM 1.72 per sq. ft.),Serviced Residence  •  Built-up : 903 sq. ft.  •  Partly furnished,3,2,2
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,200",(RM 2 per sq. ft.),"Serviced Residence  •  Built-up : 1,101 sq. ft.  •  Partly furnished",3,2,2
"Verve Suites, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,800",(RM 3.39 per sq. ft.),Serviced Residence  •  Built-up : 826 sq. ft.  •  Fully furnished,2,2,1
"Bennington Residences @ SkyArena, Setapak","Setapak, Kuala Lumpur","RM 2,000",(RM 1.62 per sq. ft.),"Condominium  •  Built-up : 1,236 sq. ft.  •  Partly furnished",4,2,2
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 2,100",(RM 2.97 per sq. ft.),Serviced Residence  •  Built-up : 708 sq. ft.  •  Partly furnished,1,1,1
"THE BREEZEWAY, DESA PARKCITY, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 8,800",(RM 2.74 per sq. ft.),"3-sty Terrace/Link House  •  Built-up : 3,211 sq. ft.  •  Partly furnished",3+1,4,3
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,600",(RM 2.71 per sq. ft.),Serviced Residence  •  Built-up : 960 sq. ft.,3,2,2
"The Sentral Residences, KL Sentral","KL Sentral, Kuala Lumpur","RM 4,000",(RM 3.18 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,259 sq. ft.  •  Fully furnished",2,2,1
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,200",(RM 4.68 per sq. ft.),Serviced Residence  •  Built-up : 470 sq. ft.  •  Fully furnished,Studio,1,1
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 6,000",(RM 3.28 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,830 sq. ft.  •  Fully furnished",4+1,6,2
"Casaman, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 14,000",(RM 2.57 per sq. ft.),"3-sty Terrace/Link House  •  Built-up : 5,448 sq. ft.  •  Fully furnished",5+1,6,4
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 3,900",(RM 2.83 per sq. ft.),"Condominium  •  Built-up : 1,377 sq. ft.  •  Partly furnished",3,2,2
"Aria, KLCC","KLCC, Kuala Lumpur","RM 4,700",(RM 4.74 per sq. ft.),Serviced Residence  •  Built-up : 991 sq. ft.  •  Fully furnished,2,2,1
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 18,000",(RM 3.07 per sq. ft.),"Condominium | Penthouse  •  Built-up : 5,866 sq. ft.  •  Partly furnished",4+1,4,2
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 18,000",(RM 3.61 per sq. ft.),"Condominium | Penthouse  •  Built-up : 4,984 sq. ft.  •  Partly furnished",4+1,4,2
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,900",(RM 2.37 per sq. ft.),"Serviced Residence  •  Built-up : 1,226 sq. ft.  •  Fully furnished",4,2,2
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","RM 15,000",(RM 13.66 per sq. ft.),"Condominium  •  Built-up : 1,098 sq. ft.  •  Fully furnished",1+1,2,2
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","RM 28,000",(RM 7.63 per sq. ft.),"Condominium  •  Built-up : 3,672 sq. ft.  •  Partly furnished",4+1,6,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 1,800",(RM 6 per sq. ft.),Condominium  •  Built-up : 300 sq. ft.  •  Fully furnished,Studio,1,1
"Setia SKY Residences, KLCC","KLCC, Kuala Lumpur","RM 4,000",(RM 2.9 per sq. ft.),"Serviced Residence  •  Built-up : 1,378 sq. ft.  •  Fully furnished",3,4,2
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,300",(RM 2.16 per sq. ft.),"Serviced Residence  •  Built-up : 1,066 sq. ft.  •  Partly furnished",3,2,2
"Riana South, Bukit Mandarina, Cheras","Cheras, Kuala Lumpur",RM 700,(RM 8.75 per sq. ft.),Condominium | Intermediate  •  Built-up : 80 sq. ft.,1,1,
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City","KL City, Kuala Lumpur","RM 2,800",(RM 2 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,403 sq. ft.  •  Fully furnished",5,3,2
"The Havre Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 1,650",(RM 1.61 per sq. ft.),"Condominium  •  Built-up : 1,023 sq. ft.  •  Partly furnished",3,2,2
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City","KL City, Kuala Lumpur","RM 2,700",(RM 2.14 per sq. ft.),"Condominium  •  Built-up : 1,262 sq. ft.  •  Fully furnished",4,2,2
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 3,800",(RM 3.8 per sq. ft.),"Condominium  •  Built-up : 1,000 sq. ft.  •  Fully furnished",2,1,2
"Serene Mont Kiara, Serene Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 12,000",(RM 3.7 per sq. ft.),"3-sty Terrace/Link House | Intermediate  •  Built-up : 3,239 sq. ft.  •  Fully furnished",5+1,6,2
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 5,000",(RM 3.5 per sq. ft.),"Serviced Residence  •  Built-up : 1,429 sq. ft.",3+1,3,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 9,000",(RM 4.2 per sq. ft.),"Condominium | Corner lot  •  Built-up : 2,142 sq. ft.  •  Fully furnished",3+1,3,2
"The Breezeway, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 4,200",(RM 3.25 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,292 sq. ft.  •  Fully furnished",2,2,2
"Casaman, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 13,000",(RM 3.02 per sq. ft.),"3-sty Terrace/Link House  •  Built-up : 4,306 sq. ft.  •  Partly furnished",4+1,5,4
"Ooak Serviced Apartments @ Kiara 163, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,800",(RM 4.02 per sq. ft.),Serviced Residence  •  Built-up : 696 sq. ft.  •  Fully furnished,1,1,1
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,800",(RM 2.76 per sq. ft.),"Condominium  •  Built-up : 1,377 sq. ft.  •  Partly furnished",3+1,2,2
"Agile Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,000",(RM 3.63 per sq. ft.),"Condominium  •  Built-up : 1,377 sq. ft.  •  Fully furnished",3+1,2,2
"Ooak Serviced Apartments @ Kiara 163, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 4.31 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 696 sq. ft.  •  Fully furnished,2,1,1
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 3.39 per sq. ft.),Serviced Residence  •  Built-up : 886 sq. ft.  •  Fully furnished,2,2,2
"The Havre Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 1,600",(RM 1.56 per sq. ft.),"Condominium  •  Built-up : 1,023 sq. ft.  •  Partly furnished",3,2,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,000",(RM 3.64 per sq. ft.),"Condominium  •  Built-up : 1,374 sq. ft.  •  Fully furnished",2+1,2,2
"Bayu Tasik 2, Cheras","Cheras, Kuala Lumpur","RM 2,000",(RM 2.19 per sq. ft.),Condominium  •  Built-up : 915 sq. ft.,3,2,1
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,000",(RM 3.64 per sq. ft.),"Condominium  •  Built-up : 1,374 sq. ft.  •  Partly furnished",2+1,2,2
"Aria, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 4.65 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 753 sq. ft.  •  Fully furnished,1+1,1,1
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,800",(RM 2.12 per sq. ft.),Condominium | Intermediate  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,2
"The Westside One, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 4,000",(RM 2.35 per sq. ft.),"Condominium  •  Built-up : 1,701 sq. ft.  •  Fully furnished",2+2,2,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 4,500",(RM 3.75 per sq. ft.),"Condominium  •  Built-up : 1,200 sq. ft.  •  Fully furnished",3,2,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 11,500",(RM 4.16 per sq. ft.),"Condominium  •  Built-up : 2,767 sq. ft.  •  Fully furnished",4+1,6,3
"Dua Residency, KLCC","KLCC, Kuala Lumpur","RM 11,000",(RM 3.14 per sq. ft.),"Condominium  •  Built-up : 3,502 sq. ft.  •  Partly furnished",4+1,5,2
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,600",(RM 1.88 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,2
"10 Stonor, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 4.76 per sq. ft.),Condominium | Intermediate  •  Built-up : 736 sq. ft.  •  Fully furnished,2,2,1
"Spring Avenue (Kuchai Damai), Kuchai Entreprenuner Park, Kuchai Lama","Kuchai Lama, Kuala Lumpur","RM 1,500",(RM 1.52 per sq. ft.),Condominium | Intermediate  •  Built-up : 986 sq. ft.  •  Partly furnished,3,2,2
"Lucentia Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 4,000",(RM 4.66 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 859 sq. ft.,2,2,2
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,400",(RM 1.65 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,1
"V Residence 3 @ Sunway Velocity, Cheras","Cheras, Kuala Lumpur","RM 2,700",(RM 2.31 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,168 sq. ft.  •  Fully furnished",3,2,
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,599",(RM 1.88 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.,3,2,1
"Millerz Square, Old Klang Road, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 2,000",(RM 2.21 per sq. ft.),Serviced Residence  •  Built-up : 907 sq. ft.  •  Partly furnished,3,2,2
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 3.18 per sq. ft.),Serviced Residence | Duplex  •  Built-up : 944 sq. ft.  •  Fully furnished,2,2,2
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 1,700",(RM 3.85 per sq. ft.),Serviced Residence  •  Built-up : 442 sq. ft.  •  Partly furnished,1,1,1
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,000",(RM 3.36 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 595 sq. ft.  •  Fully furnished,1,1,1
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 3.25 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 924 sq. ft.  •  Partly furnished,2,2,2
"Arte Mont Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,600",(RM 2.81 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 925 sq. ft.  •  Fully furnished,2,3,2
"The Hipster, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,450",(RM 1.57 per sq. ft.),Condominium | Intermediate  •  Built-up : 921 sq. ft.  •  Partly furnished,3,2,2
"Residence 8, Taman Sri Jati, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,700",(RM 1.31 per sq. ft.),"Condominium  •  Built-up : 1,300 sq. ft.  •  Partly furnished",3,2,2
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,000",(RM 1.82 per sq. ft.),"Serviced Residence  •  Built-up : 1,101 sq. ft.  •  Partly furnished",3,2,2
"Private Pool, Damansara Heights","Damansara Heights, Kuala Lumpur","RM 11,500",(RM 2.88 per sq. ft.),"Semi-detached House  •  Built-up : 4,000 sq. ft.  •  Partly furnished",3+1,4,3
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,900",(RM 2.37 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,226 sq. ft.  •  Fully furnished",3,2,2
"Pavilion Suites, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 4,500",(RM 6.27 per sq. ft.),Condominium  •  Built-up : 718 sq. ft.  •  Fully furnished,1,1,
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,300",(RM 2.4 per sq. ft.),Serviced Residence  •  Built-up : 960 sq. ft.  •  Fully furnished,3,2,2
"Lucentia Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 3,100",(RM 5.6 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 554 sq. ft.  •  Fully furnished,1,1,1
"Paraiso Residence @ The Earth, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,200",(RM 1.79 per sq. ft.),"Serviced Residence  •  Built-up : 1,226 sq. ft.  •  Partly furnished",3+1,2,2
"Lucentia Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 2,800",(RM 4.25 per sq. ft.),Serviced Residence | End lot  •  Built-up : 659 sq. ft.  •  Fully furnished,1+1,1,1
"Aria, KLCC","KLCC, Kuala Lumpur","RM 4,500",(RM 4.54 per sq. ft.),Serviced Residence  •  Built-up : 991 sq. ft.,2,2,1
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,400",(RM 2.57 per sq. ft.),Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished,3,2,1
"Vipod Residence, KLCC","KLCC, Kuala Lumpur","RM 5,000",(RM 3.7 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,350 sq. ft.  •  Fully furnished",3,2,1
"Star Residences Two, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 5.6 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 625 sq. ft.  •  Fully furnished,1,1,1
"Sky Suites @ KLCC, KLCC","KLCC, Kuala Lumpur","RM 3,000",(RM 3.77 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 795 sq. ft.  •  Fully furnished,2+1,2,
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,900",(RM 2.78 per sq. ft.),"Serviced Residence  •  Built-up : 1,044 sq. ft.  •  Fully furnished",3,2,2
"Vipod Residence, KLCC","KLCC, Kuala Lumpur","RM 3,500",(RM 4.41 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 793 sq. ft.  •  Fully furnished,2,2,1
"One Central Park, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 5,300",(RM 3.85 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,377 sq. ft.  •  Fully furnished",3,2,2
"Verticas Residensi, Bukit Ceylon, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 5,000",(RM 2.47 per sq. ft.),"Condominium | Corner lot  •  Built-up : 2,022 sq. ft.  •  Fully furnished",3+1,4,2
"Arcoris Residences, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,700",(RM 5.76 per sq. ft.),Serviced Residence  •  Built-up : 990 sq. ft.  •  Fully furnished,2+1,2,1
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur","RM 2,800",(RM 3.94 per sq. ft.),Condominium  •  Built-up : 710 sq. ft.  •  Fully furnished,1,1,1
"Residensi Kia Peng (Twelve Kia Peng), Jalan Kia Peng, KLCC","KLCC, Kuala Lumpur","RM 6,500",(RM 2.28 per sq. ft.),"Condominium | Corner lot  •  Built-up : 2,850 sq. ft.  •  Partly furnished",3+1,5,2
"The Sentral Residences, KL Sentral","KL Sentral, Kuala Lumpur","RM 4,300",(RM 2.65 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,625 sq. ft.  •  Partly furnished",2+1,3,1
"Expressionz Professional Suites, KL City","KL City, Kuala Lumpur","RM 1,800",(RM 3.6 per sq. ft.),Serviced Residence  •  Built-up : 500 sq. ft.  •  Fully furnished,1,1,
"Four Seasons Place, KLCC","KLCC, Kuala Lumpur","RM 12,500",(RM 9.29 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,345 sq. ft.  •  Fully furnished",2+1,2,2
"Sky Suites @ KLCC, KLCC","KLCC, Kuala Lumpur","RM 3,200",(RM 4.93 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 649 sq. ft.  •  Fully furnished,2,2,
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 5,800",(RM 3.5 per sq. ft.),"Condominium  •  Built-up : 1,658 sq. ft.  •  Fully furnished",4,4,2
"Sofiya Residensi, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 2,000",(RM 2.32 per sq. ft.),Apartment  •  Built-up : 862 sq. ft.  •  Partly furnished,3,2,1
"Westside Three, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 3,700",(RM 2.89 per sq. ft.),"Condominium  •  Built-up : 1,281 sq. ft.  •  Fully furnished",3,2,2
"Parc 3, Cheras","Cheras, Kuala Lumpur","RM 1,900",(RM 2.2 per sq. ft.),Serviced Residence  •  Built-up : 865 sq. ft.,2,2,1
"2 Hampshire, Hampshire Park, KLCC","KLCC, Kuala Lumpur","RM 9,600",(RM 2.13 per sq. ft.),"Condominium  •  Built-up : 4,500 sq. ft.  •  Partly furnished",6,6,3
"Mont Kiara Bayu, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 2.34 per sq. ft.),"Condominium  •  Built-up : 1,280 sq. ft.  •  Fully furnished",3,2,2
"Mont Kiara Palma, Bukit Kiara, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,800",(RM 2.19 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,280 sq. ft.  •  Fully furnished",3,2,1
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 4,600",(RM 3.8 per sq. ft.),"Serviced Residence  •  Built-up : 1,211 sq. ft.  •  Fully furnished",2,2,2
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 3,600",(RM 4.65 per sq. ft.),Serviced Residence  •  Built-up : 775 sq. ft.  •  Fully furnished,2,2,1
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,400",(RM 1.65 per sq. ft.),Condominium | Intermediate  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,2
"Vogue Suites One, KL Eco City","KL Eco City, Kuala Lumpur","RM 2,800",(RM 3.77 per sq. ft.),Condominium  •  Built-up : 743 sq. ft.  •  Fully furnished,1+1,1,1
"The Hipster, Taman Desa","Taman Desa, Kuala Lumpur","RM 2,300",(RM 2.5 per sq. ft.),Condominium  •  Built-up : 921 sq. ft.  •  Fully furnished,3,2,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 3,500",(RM 3.61 per sq. ft.),Condominium  •  Built-up : 969 sq. ft.  •  Fully furnished,3,2,1
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 1,900",(RM 2.95 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 645 sq. ft.  •  Fully furnished,1+1,1,1
"M City, Ampang","Ampang, Kuala Lumpur","RM 1,500",(RM 2.81 per sq. ft.),Serviced Residence  •  Built-up : 533 sq. ft.  •  Fully furnished,Studio,1,1
"M City, Ampang","Ampang, Kuala Lumpur","RM 2,500",(RM 2.56 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 977 sq. ft.  •  Fully furnished,2,2,2
"M City, Ampang","Ampang, Kuala Lumpur","RM 4,300",(RM 2.6 per sq. ft.),"Serviced Residence  •  Built-up : 1,653 sq. ft.",3+1,3,2
"Pavilion Hilltop, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,600",(RM 3 per sq. ft.),"Condominium | Intermediate  •  Built-up : 1,200 sq. ft.  •  Partly furnished",3,2,2
